form,enabled,sink,orginial,def
AST_CS,1,tbl,,tmp_stg.sg_cmdb
AST_CS,1,filter,,dft.AST_CS
AST_CS,1,None,"AST_CS Not found, change to *'BMC.CORE:BMC_ComputerSystem'",
AST_CS,1,asset_name,CI Name,
AST_CS,1,description,CI Description,
AST_CS,1,ci_id,CI ID,
AST_CS,1,tag_number,Tab Number,
AST_CS,1,serial_number,Serial Number,
AST_CS,1,part_number,Part Number,
AST_CS,1,supported,Supported,
AST_CS,1,asset_description,Environment,
AST_CS,1,company,Company,
AST_CS,1,primary_capability,Primary Capability,
AST_CS,1,capability_list,Capability List,
AST_CS,1,system_role,System Role,
AST_CS,1,status,Status,
AST_CS,1,status_reason,Sub Type,
AST_CS,1,impact,ITS/IS,cast.impact
AST_CS,1,urgency,MTRC_RU_Indictator,cast.urgency
AST_CS,1,priority,MTRC_RU_Date,cast.priority
AST_CS,1,users_affected,BIA,
AST_CS,1,prod_category1,Prod Category Tier 1,
AST_CS,1,prod_category2,Prod Category Tier 2,
AST_CS,1,prod_category3,Prod Category Tier 3,
AST_CS,1,product_name,Product Name,
AST_CS,1,model,Model/Version,
AST_CS,1,manufacturer,Manufacturer,
AST_CS,1,supplier_name,Supplier Name,
AST_CS,1,region,Region,
AST_CS,1,site_group,Site Group,
AST_CS,1,site,Site,
AST_CS,1,floor,Floor,
AST_CS,1,room,Cabinet,
AST_CS,1,received_date,Received Date,
AST_CS,1,installation_date,Installation Date,
AST_CS,1,available_date,Available Date,
AST_CS,1,inactive_date,Return Date,
AST_CS,1,disposal_date,Disposal Date,
AST_CS,1,last_scan_date,Last Scan Date,
AST_CS,1,owner_name,Owner Name,
AST_CS,1,owner_contact,Owner Contact,
AST_CS,1,env_spec,Environment Speification,
AST_CS,1,conf_opts,Configuration Options,
AST_CS,1,system_type,System Type,
AST_CS,1,reset_capability,Reset Capability,
AST_CS,1,expansion,Expansion,
AST_CS,1,expansion_interface,Expansion Interface,
AST_CS,1,impact_computation,Impact Computation Model,
AST_CS,1,virtual_system,Virtual System Type,
AST_CS,1,is_virtual,Is Virtual,
AST_CS,1,dns_host,DNS Host Name,
AST_CS,1,workgroup,Workgroup,
AST_CS,1,domain,Domain,
AST_CS,1,number_of_slots,Number of Slots,
AST_CS,1,ports_per_slot,Ports per Slot,
AST_CS,1,total_physical_memory,Physical Memory,
AST_CS,1,flash_memory,Flash Memory,
AST_CS,1,work_info,Work Info,
AST_CS,1,contracts,Contracts,
AST_CS,1,people,People,
