form,enabled,dest,src,def
CHG_AS,1,tbl,,tmp_stg.sg_itsm_assoc
CHG_AS,1,filter,,dft.CHG_AS
CHG_AS,1,updated_by,Submitter,
CHG_AS,1,updated_time,Submit Date,
CHG_AS,1,short_description,Short Description,
CHG_AS,1,description,Request Description01,
CHG_AS,1,form01,Form Name01,
CHG_AS,1,form02,Form Name02,
CHG_AS,1,req_id01,Request ID01,
CHG_AS,1,req_id02,Request ID02,
CHG_AS,1,status_asset,Status-Asset,
CHG_AS,1,status_inc,Status-INC,
CHG_AS,1,status_crq,Status-CRQ,
CHG_AS,1,status_pbi,Status-PBI,
CHG_AS,1,status_req,Status-REQ,
CHG_AS,1,status_tsk,Status-TSK,
CHG_AS,1,status_rlm,Status-RLM,
CHG_AS,1,status_aot,Status-AOT,
CHG_AS,1,status_kdb,Status-KDB,
CHG_AS,1,status_wor,Status-WOR,
CHG_AS,1,status_pke,Status-PKE,
CHG_AS,1,status_prq,Status-PRQ,
CHG_AS,1,status_acm,Status-ACM,
CHG_AS,1,status_con,Status-CON,
CHG_AS,1,status_sla,Status-SLA,
CHG_AS,1,status_ola,Status-OLA,
