form,enabled,dest,src,def
CTM,1,tbl,,tmp_stg.sg_user
CTM,1,filter,,dft.CTM
CTM,1,first_name,First Name,
CTM,1,last_name,Last Name,
CTM,1,job_title,JobTitle,
CTM,1,nickname,Nick Name,
CTM,1,profile_status,Profile Status,
CTM,1,client_sensitivity,Client Sensitivity,
CTM,1,user_type,Client Type,
CTM,1,support_staff,Support Staff,
CTM,1,pin,PIN,
CTM,1,company,Company,
CTM,1,organization,Organization,
CTM,1,department,Department,
CTM,1,business,Local Business,
CTM,1,email_address,Internet E-mail,
CTM,1,site_group,Site Group,
CTM,1,site,Site,
CTM,1,support_mobile,MTRC_SupportMobile,
CTM,1,login_id,Remedy Login ID,
CTM,1,license_type,User_Type,
CTM,1,application_permission,Assignee Groups,
CTM,1,home_information,Corporate ID,
CTM,1,acd,ACD Phone Num,
CTM,1,corporate_email,Corporate E-Mail,
CTM,1,accounting_number,Accounting Number,
CTM,1,updated_by,Last Modified By,
CTM,1,updated_time,Last Modified Date,
CTM,1,created_by,Submitter,
CTM,1,created_time,Submit Date,
