form,enabled,sink,orginial,def
PBM_AS,1,tbl,,tmp_stg.sg_itsm_assoc
PBM_AS,1,filter,,dft.PBM_AS
PBM_AS,1,updated_by,Submitter,
PBM_AS,1,updated_time,Submit Date,
PBM_AS,1,short_description,Short Description,
PBM_AS,1,description,Request Description01,
PBM_AS,1,form01,Form Name01,
PBM_AS,1,form02,Form Name02,
PBM_AS,1,req_id01,Request ID01,
PBM_AS,1,req_id02,Request ID02,
PBM_AS,1,status_asset,Status-Asset,
PBM_AS,1,status_inc,Status-INC,
PBM_AS,1,status_crq,Status-CRQ,
PBM_AS,1,status_pbi,Status-PBI,
PBM_AS,1,status_req,Status-REQ,
PBM_AS,1,status_tsk,Status-TSK,
PBM_AS,1,status_rlm,Status-RLM,
PBM_AS,1,status_aot,Status-AOT,
PBM_AS,1,status_kdb,Status-KDB,
PBM_AS,1,status_wor,Status-WOR,
PBM_AS,1,status_pke,Status-PKE,
PBM_AS,1,status_prq,Status-PRQ,
PBM_AS,1,status_acm,Status-ACM,
PBM_AS,1,status_con,Status-CON,
PBM_AS,1,status_sla,Status-SLA,
PBM_AS,1,status_ola,Status-OLA,
