sid,type,code,val,form,created_by,creation_time
50,configuration_item_service,Service Down,,,manual,2026-06-12
50,configuration_item,ProductDeployment module on Apache Tomcat Application Server 7 on vmapp1495,,,manual,2026-06-12
50,impact,3 - Low,-1,,manual,2026-06-12
50,impact,1 - High,-1,,manual,2026-06-12
50,impact,2 - Medium,-1,,manual,2026-06-12
50,urgency,3 - Low,-1,,manual,2026-06-12
50,urgency,1 - High,-1,,manual,2026-06-12
50,urgency,2 - Medium,-1,,manual,2026-06-12
50,priority,4 - Low,-1,,manual,2026-06-12
50,priority,3 - Medium,-1,,manual,2026-06-12
50,priority,1 - P1/P2 Service Down,-1,,manual,2026-06-12
50,priority,2 - High,-1,,manual,2026-06-12
50,channel,Self Service,-1,,manual,2026-06-12
50,channel,Phone,-1,,manual,2026-06-12
50,channel,Chatbot,-1,,manual,2026-06-12
50,channel,Chat,-1,,manual,2026-06-12
50,channel,Email,-1,,manual,2026-06-12
50,channel,MS Teams,-1,,manual,2026-06-12
50,channel,Systems Management,-1,,manual,2026-06-12
50,channel,Direct Input,-1,,manual,2026-06-12
50,channel,Other,-1,,manual,2026-06-12
50,gid,HELPDESK,-1,,manual,2026-06-12
50,gid,ITIS-CDMS,-1,,manual,2026-06-12
50,gid,ITSM-DEMO,-1,,manual,2026-06-12
50,gid,ITSM,-1,,manual,2026-06-12
50,gid,RISK-ASR,-1,,manual,2026-06-12
50,gid,SSCP,-1,,manual,2026-06-12
50,gid,MyIT,-1,,manual,2026-06-12
50,gid,DGP,-1,,manual,2026-06-12
50,gid,ITIS-DC,-1,,manual,2026-06-12
50,gid,ITIS-DDOS,-1,,manual,2026-06-12
50,gid,ISS-Elvis Chan,-1,,manual,2026-06-12
50,gid,TEST-RENAMED,-1,,manual,2026-06-12
50,gid,C&IS-SEP,-1,,manual,2026-06-12
50,gid,FIN,-1,,manual,2026-06-12
50,gid,ITIS-CAD,-1,,manual,2026-06-12
50,gid,ITIS-DCF,-1,,manual,2026-06-12
50,gid,ITIS-MyIT-ADMIN,-1,,manual,2026-06-12
50,gid,ITIS-WINDOWS,-1,,manual,2026-06-12
50,gid,ENG-TRS,-1,,manual,2026-06-12
50,gid,PMK,-1,,manual,2026-06-12
50,gid,ENG,-1,,manual,2026-06-12
50,gid,FIN-FMS,-1,,manual,2026-06-12
50,gid,AFCAZ,-1,,manual,2026-06-12
50,gid,C&IS-IR,-1,,manual,2026-06-12
50,gid,C&IS-FW,-1,,manual,2026-06-12
50,gid,NET-WIFI,-1,,manual,2026-06-12
50,gid,CORP,-1,,manual,2026-06-12
50,gid,CORP-EWF,-1,,manual,2026-06-12
50,gid,ITIS-DeskTop,-1,,manual,2026-06-12
50,gid,PROP,-1,,manual,2026-06-12
50,gid,ON-SITE,-1,,manual,2026-06-12
50,gid,DUMMY,-1,,manual,2026-06-12
50,gid,3VIP Support,-1,,manual,2026-06-12
50,gid,OPER-OIS,-1,,manual,2026-06-12
50,gid,CWS,-1,,manual,2026-06-12
50,gid,PROC,-1,,manual,2026-06-12
50,gid,OA,-1,,manual,2026-06-12
50,gid,OPER-ETMS,-1,,manual,2026-06-12
50,gid,PROJ-OPEM,-1,,manual,2026-06-12
50,gid,RPA-Robotic Process Automation,-1,,manual,2026-06-12
50,gid,ITIS-PAL,-1,,manual,2026-06-12
50,gid,C&IS-UAR,-1,,manual,2026-06-12
50,gid,PROJ-EPMS,-1,,manual,2026-06-12
50,gid,FIN-COT,-1,,manual,2026-06-12
50,gid,NET-CDN,-1,,manual,2026-06-12
50,gid,FIN-SRC,-1,,manual,2026-06-12
50,gid,SUPPLE-EBS,-1,,manual,2026-06-12
50,gid,MKT,-1,,manual,2026-06-12
50,gid,ENG-RAILASSURE,-1,,manual,2026-06-12
50,gid,C&IS-APT,-1,,manual,2026-06-12
50,gid,FARE-PCIS,-1,,manual,2026-06-12
50,gid,CMAP,-1,,manual,2026-06-12
50,gid,ITIS-BRS,-1,,manual,2026-06-12
50,gid,OPERATOR,-1,,manual,2026-06-12
50,gid,MKT-MTRMB,-1,,manual,2026-06-12
50,gid,ITIS-RINCON,-1,,manual,2026-06-12
50,gid,PROP-PMS,-1,,manual,2026-06-12
50,gid,MKT-HSW,-1,,manual,2026-06-12
50,gid,PROJ-SIMS,-1,,manual,2026-06-12
50,gid,PRJ-DMS,-1,,manual,2026-06-12
50,gid,ITS-ACB,-1,,manual,2026-06-12
50,gid,C&IS-DLP,-1,,manual,2026-06-12
50,gid,IT-CSER-OA,-1,,manual,2026-06-12
50,gid,ITIS-DS,-1,,manual,2026-06-12
50,gid,ENG-LARP,-1,,manual,2026-06-12
50,gid,ITIS-EIP,-1,,manual,2026-06-12
50,gid,ITIS-Teams,-1,,manual,2026-06-12
50,gid,OPER-ODMS,-1,,manual,2026-06-12
50,gid,ITIS-HPUX,-1,,manual,2026-06-12
50,gid,ENG-SMI,-1,,manual,2026-06-12
50,gid,HRM-CQA,-1,,manual,2026-06-12
50,gid,STPSUP,-1,,manual,2026-06-12
50,gid,HRM-HRMS,-1,,manual,2026-06-12
50,gid,PROC-CAS,-1,,manual,2026-06-12
50,gid,PROJ-MTS,-1,,manual,2026-06-12
50,gid,ISS-Eddie Sio,-1,,manual,2026-06-12
50,gid,FARE-AFCTRM,-1,,manual,2026-06-12
50,gid,PROP-PPRS,-1,,manual,2026-06-12
50,gid,ITIS-UCC,-1,,manual,2026-06-12
50,gid,ITIS-VDI,-1,,manual,2026-06-12
50,gid,AMC,-1,,manual,2026-06-12
50,gid,KM,-1,,manual,2026-06-12
50,gid,FIN-ACS,-1,,manual,2026-06-12
50,gid,HRM,-1,,manual,2026-06-12
50,gid,ENG-MCM,-1,,manual,2026-06-12
50,gid,FIN-FCS,-1,,manual,2026-06-12
50,gid,ITIS-EMAIL,-1,,manual,2026-06-12
50,gid,ITIS-RFAX,-1,,manual,2026-06-12
50,gid,IEMS,-1,,manual,2026-06-12
50,gid,ISS-Alan-See,-1,,manual,2026-06-12
50,gid,FIN-SIG,-1,,manual,2026-06-12
50,gid,Maint-Team-Approver,-1,,manual,2026-06-12
50,gid,MKT-MWS,-1,,manual,2026-06-12
50,gid,OTH-DPIDS,-1,,manual,2026-06-12
50,gid,NET-INTERNET,-1,,manual,2026-06-12
50,gid,PROP-ECRM,-1,,manual,2026-06-12
50,gid,IT IS-SmartPrint,-1,,manual,2026-06-12
50,gid,ITIS-RTS,-1,,manual,2026-06-12
50,gid,VMP-Celia Chiang,-1,,manual,2026-06-12
50,gid,ODC1-Leo Xie,-1,,manual,2026-06-12
50,gid,EXOM-HD,-1,,manual,2026-06-12
50,gid,OPER-ASH,-1,,manual,2026-06-12
50,gid,ISIE,-1,,manual,2026-06-12
50,gid,OPER,-1,,manual,2026-06-12
50,gid,ITIS-CFS,-1,,manual,2026-06-12
50,gid,OPER-ETMSSafeTrack,-1,,manual,2026-06-12
50,gid,OPER-ESPEDIA,-1,,manual,2026-06-12
50,gid,OPER-OPD,-1,,manual,2026-06-12
50,gid,C&IS-SIEM,-1,,manual,2026-06-12
50,gid,EWF,-1,,manual,2026-06-12
50,gid,ISS-Ryan-Lau,-1,,manual,2026-06-12
50,gid,MCP-INF,-1,,manual,2026-06-12
50,gid,MKT-BSRS,-1,,manual,2026-06-12
50,gid,EFW,-1,,manual,2026-06-12
50,gid,ITIS-VCS,-1,,manual,2026-06-12
50,gid,C&IS-IRM,-1,,manual,2026-06-12
50,subcategory,User Self Service,-1,,manual,2026-06-12
50,subcategory,Enquiry,-1,,manual,2026-06-12
50,subcategory,Wifi,-1,,manual,2026-06-12
50,subcategory,N/A,-1,,manual,2026-06-12
50,subcategory,Control-M Job,-1,,manual,2026-06-12
50,subcategory,3RD PARTY APPS,-1,,manual,2026-06-12
50,subcategory,OTHERS,-1,,manual,2026-06-12
50,subcategory,Access / Connectivity,-1,,manual,2026-06-12
50,subcategory,Login,-1,,manual,2026-06-12
50,subcategory,Remedy,-1,,manual,2026-06-12
50,subcategory,CPU Utilization,-1,,manual,2026-06-12
50,subcategory,Error,-1,,manual,2026-06-12
50,subcategory,Firewall,-1,,manual,2026-06-12
50,subcategory,Client_VDI,-1,,manual,2026-06-12
50,subcategory,Edge,-1,,manual,2026-06-12
50,subcategory,MWS,-1,,manual,2026-06-12
50,subcategory,Copier,-1,,manual,2026-06-12
50,subcategory,OUTLOOK,-1,,manual,2026-06-12
50,subcategory,PC Setting,-1,,manual,2026-06-12
50,subcategory,PC,-1,,manual,2026-06-12
50,subcategory,Error or Warning Message,-1,,manual,2026-06-12
50,subcategory,MS_Teams,-1,,manual,2026-06-12
50,subcategory,Monitor,-1,,manual,2026-06-12
50,subcategory,OIS,-1,,manual,2026-06-12
50,subcategory,Laptop,-1,,manual,2026-06-12
50,subcategory,A-PDF_Mailer,-1,,manual,2026-06-12
50,subcategory,OneDrive,-1,,manual,2026-06-12
50,subcategory,Printer,-1,,manual,2026-06-12
50,subcategory,Request,-1,,manual,2026-06-12
50,subcategory,PRINTING / PRINT QUEUE,-1,,manual,2026-06-12
50,subcategory,Bentley Microstation CE,-1,,manual,2026-06-12
50,subcategory,Print_Queue,-1,,manual,2026-06-12
50,subcategory,Win_OS,-1,,manual,2026-06-12
50,subcategory,Client_RTS,-1,,manual,2026-06-12
50,subcategory,Bentely_View_CE,-1,,manual,2026-06-12
50,subcategory,RPA,-1,,manual,2026-06-12
50,subcategory,EXCEL,-1,,manual,2026-06-12
50,subcategory,Process or Service Down,-1,,manual,2026-06-12
50,subcategory,Plotter,-1,,manual,2026-06-12
50,subcategory,CQAS,-1,,manual,2026-06-12
50,subcategory,STP,-1,,manual,2026-06-12
50,subcategory,HRMS,-1,,manual,2026-06-12
50,subcategory,EPMS,-1,,manual,2026-06-12
50,subcategory,SharePoint_Online,-1,,manual,2026-06-12
50,subcategory,SharePoint_Local,-1,,manual,2026-06-12
50,subcategory,Performance,-1,,manual,2026-06-12
50,subcategory,OWA,-1,,manual,2026-06-12
50,subcategory,O365,-1,,manual,2026-06-12
50,subcategory,Acrobat_Reader,-1,,manual,2026-06-12
50,subcategory,MFA,-1,,manual,2026-06-12
50,subcategory,Disk Utilization,-1,,manual,2026-06-12
50,subcategory,Common_Drive,-1,,manual,2026-06-12
50,subcategory,Intune,-1,,manual,2026-06-12
50,subcategory,Local_PC_Software,-1,,manual,2026-06-12
50,subcategory,MS_PowerBI,-1,,manual,2026-06-12
50,subcategory,Adobe_e-Sign,-1,,manual,2026-06-12
50,subcategory,Performance Network Utilization,-1,,manual,2026-06-12
50,subcategory,Within DLP,-1,,manual,2026-06-12
50,subcategory,Ping Fail,-1,,manual,2026-06-12
50,subcategory,Batch Job,-1,,manual,2026-06-12
50,subcategory,Memory Utilization,-1,,manual,2026-06-12
50,subcategory,IPS,-1,,manual,2026-06-12
50,uid,Remedy Application Service,-1,,manual,2026-06-12
50,uid,activationuser,-1,,manual,2026-06-12
50,uid,AR_ESCALATOR,-1,,manual,2026-06-12
50,uid,n/a,-1,,manual,2026-06-12
50,uid,JAVIERS,-1,,manual,2026-06-12
50,uid,REMADMIN,-1,,manual,2026-06-12
50,uid,MAGRACIA,-1,,manual,2026-06-12
